id,created_at,text
940076849886928898,2017-12-11 04:32:41,b'@Banfiike @realDonaldTrump Right'
940076646849134592,2017-12-11 04:31:53,b'@realDonaldTrump Right @Banfiike'
929564848643629056,2017-11-12 04:21:45,b'With papa https://t.co/xUyYBX3Z4d'
926676056022634496,2017-11-04 05:02:43,b'Looking fabulous https://t.co/F4RvtX8XqD'
922833088887050242,2017-10-24 14:32:08,b'@Leilla_V hi'
