username,id,reply_id,date,tweet
jlm0354,9.40075E+17,9.39616E+17,12/11/2017 4:24,"@realDonaldTrump @daveweigel @washingtonpost It's a real legitimate photo, it was just taken earlier.  No apology r... https://t.co/TSD19QMHeL"
orzymann,9.40075E+17,9.39616E+17,12/11/2017 4:23,@realDonaldTrump @daveweigel @washingtonpost That photo was from your inauguration dummy...haha
DrJayHay,9.40074E+17,9.39616E+17,12/11/2017 4:23,@realDonaldTrump @daveweigel @washingtonpost The left had trouble filling a basketball court.... why is this even a issue.
Poppie_field,9.40074E+17,9.39616E+17,12/11/2017 4:20,@realDonaldTrump @daveweigel @washingtonpost You're in the photo.
bsnbrysp8,9.40073E+17,9.39616E+17,12/11/2017 4:18,"@realDonaldTrump @daveweigel @washingtonpost Yawn. Boring. So, it was before your packed arena...#SnowflakeInChief"
penrosecurtis,9.40073E+17,9.39616E+17,12/11/2017 4:18,@realDonaldTrump @daveweigel @washingtonpost THIS is what you're concerned with??? For fucks sake. #ComeBackBarack
rondavt74,9.40073E+17,9.39616E+17,12/11/2017 4:17,@realDonaldTrump @daveweigel @washingtonpost  https://t.co/KIlXEabyL1
Tbark8Tj,9.40073E+17,9.39616E+17,12/11/2017 4:16,@realDonaldTrump @daveweigel @washingtonpost maybe if these people would get fired things would change 'FAKE' news WaPo
msbakerdw,9.40073E+17,9.39616E+17,12/11/2017 4:16,@realDonaldTrump @daveweigel @washingtonpost SO CHILDISH MR PRESIDENT YOU WORRY ABT TH WRONG THING.IF I WS TH ONLY... https://t.co/HUXFJZIk6k
stefanie_wood,9.40072E+17,9.39616E+17,12/11/2017 4:15,@realDonaldTrump @daveweigel @washingtonpost the fake president needs to get a life. Sad!
bighugewildRick,9.40072E+17,9.39616E+17,12/11/2017 4:13,@realDonaldTrump @Stump4TrumpPAC @daveweigel @washingtonpost Lugenpresse
Mattophobia,9.40072E+17,9.39616E+17,12/11/2017 4:13,"@realDonaldTrump @daveweigel @washingtonpost As the president of the USA, why is your ego so fragile that you get s... https://t.co/8Phbdp3s7p"
RRNYNJCT,9.40072E+17,9.39616E+17,12/11/2017 4:13,@realDonaldTrump @daveweigel @washingtonpost You apologize for all of your lies you prick
justhafaxjak,9.40071E+17,9.39616E+17,12/11/2017 4:11,@realDonaldTrump @daveweigel @washingtonpost You're worried about size more than any man I've ever heard of in my l... https://t.co/mqNqFUWh18
HaywardBrock,9.40071E+17,9.39616E+17,12/11/2017 4:10,@realDonaldTrump @daveweigel @washingtonpost You mad bro? @realDonaldTrump
