,username,id,reply_id,date,tweet,following,hashtag
0,ZoltanCaptain,940075314398486528,939642796289470464,2017-12-11 04:26:35,@realDonaldTrump Resign before you are impeached dumb fuck!  No respect for draft dodging pussy grabbers!!!!,-8,0.0
1,nodictatorinusa,940073512282218496,939642796289470464,2017-12-11 04:19:25,@realDonaldTrump  https://t.co/tuQNvmQYEZ,-7,3.0
2,1MikeMerica,940073344891699200,939642796289470464,2017-12-11 04:18:45,@realDonaldTrump Now go play roulette in Russia,-1,2.0
3,rondavt74,940072314086887424,939642796289470464,2017-12-11 04:14:40,@realDonaldTrump  https://t.co/sIPqjPoX3s,-3,0.0
4,TMHansen0528,940071620823040001,939642796289470464,2017-12-11 04:11:54,@realDonaldTrump You know nothing about football!,-3,0.0
5,msbakerdw,940071578154418177,939642796289470464,2017-12-11 04:11:44,@realDonaldTrump HOW ABOUT THEM COWBOYS,-1,0.0
6,ThomasH78937573,940068345604333570,939642796289470464,2017-12-11 03:58:53,@realDonaldTrump Yippee and you also have a trophy wife !,-10,0.0
7,MRMitchnet,940067661358104576,939642796289470464,2017-12-11 03:56:10,@realDonaldTrump @Don_Vito_08 Everything is better with you as President....even the the Army Navy games! #MAGA,-3,2.0
8,jshoe2111,940067075728424961,939642796289470464,2017-12-11 03:53:51,@realDonaldTrump Was with an Army guy yesterday...he was actually pretty nice...Go Navy BABY!!,-4,0.0
9,rosiegee818,940065699598184451,939642796289470464,2017-12-11 03:48:23,@realDonaldTrump Yah i said bcus u &amp; ur russia traitor friend know its true,0,0.0
10,rosiegee818,940065690773417985,939642796289470464,2017-12-11 03:48:20,@realDonaldTrump U lie and lie and lie to ur poor supportes. U behave like a coke addict,0,0.0
11,rosiegee818,940065368525045765,939642796289470464,2017-12-11 03:47:04,@realDonaldTrump Ur a criminal kissing the countries _ss just to be a snake &amp; steel from the poor,0,0.0
12,11groverbeac,940064726972710912,939642796289470464,2017-12-11 03:44:31,@realDonaldTrump Please help the child sex slaves underground at Getty Museum mansions nearby lead to tunnels! Sata... https://t.co/2LK0FF9U0x,2,0.0
13,Impeach40153700,940063124970905601,939642796289470464,2017-12-11 03:38:09,@realDonaldTrump Who is the commander in chief??,0,0.0
14,USANYCAL,940062936734744576,939642796289470464,2017-12-11 03:37:24,"""@realDonaldTrump: Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF'S TROPHY! Congratulations!""

Nooooooo",-2,-1.0
15,never_martha,940062892581199873,939642796289470464,2017-12-11 03:37:13,@realDonaldTrump #TakeAKnee,-5,1.0
16,ArleneO99070647,940062009730543617,939642796289470464,2017-12-11 03:33:43,@realDonaldTrump Yay Army!!! Both of my Sons was in the Army!!! Love all Our Boys!,1,0.0
17,laniusd2011,940061545400168448,939642796289470464,2017-12-11 03:31:52,"@realDonaldTrump Always about you, isn't it.",-7,0.0
18,RefDemo,940061091131899910,939642796289470464,2017-12-11 03:30:04,@realDonaldTrump Congratulations @WestPoint_USMA @USArmy...https://t.co/kZbaA1nlRD,-8,0.0
19,LKalawarny,940075636583948293,939634404267380736,2017-12-11 04:27:52,@realDonaldTrump @daveweigel Isn't there more important things to be wasting your time on...really get yourself tog... https://t.co/uDnA5Aq6l0,-8,0.0
20,roeorr,940075569013694466,939634404267380736,2017-12-11 04:27:36,"@realDonaldTrump @daveweigel Small crowds, small hands must be penis envy?",-7,-1.0
21,Samanthtics,940075436985401344,939634404267380736,2017-12-11 04:27:04,@realDonaldTrump @daveweigel Are you asking if those two words are synonymous,-7,0.0
22,NewfieTweeterer,940074876852776961,939634404267380736,2017-12-11 04:24:51,@realDonaldTrump @daveweigel You're fake. Moron.,-5,2.0
23,GLORIANMICAH420,940074647562829825,939634404267380736,2017-12-11 04:23:56,@realDonaldTrump FUCK YOU PIECE OF SHIT,1,0.0
24,cravenknowledge,940074429597364226,939634404267380736,2017-12-11 04:23:04,@realDonaldTrump @daveweigel The Definitive List of Trump's Lies And Counting #Resist #TheResistanceVOTES... https://t.co/P3JKTLiBAC,-2,0.0
25,JodiValeOnAir,940074204816228353,939634404267380736,2017-12-11 04:22:10,@realDonaldTrump @daveweigel  https://t.co/WC9oYn0f7O,-2,1.0
26,LGMosson,940073602610741251,939634404267380736,2017-12-11 04:19:47,@realDonaldTrump @daveweigel You have lied an average of six times for every day you have been in office.  You're t... https://t.co/HatCS8PiiL,1,0.0
27,Gwen580,940073576857604096,939634404267380736,2017-12-11 04:19:41,@realDonaldTrump @daveweigel He admitted his mistake and apologized.  Let it go!,-10,0.0
28,cravenknowledge,940073500332531712,939634404267380736,2017-12-11 04:19:22,@realDonaldTrump @daveweigel https://t.co/t2uI1TBCPq,-2,0.0
29,EYE_doubt_it,940073302948700160,939634404267380736,2017-12-11 04:18:35,@realDonaldTrump @daveweigel Sources say trump cash balances are low. Can no longer afford to pay supporters to attend.,-4,0.0
30,cravenknowledge,940073288100847616,939634404267380736,2017-12-11 04:18:32,@realDonaldTrump @daveweigel Trump Is Trying to Cover Up His Lies by Destroying Information via @thenation https://t.co/Q8dRsEHmbB,-2,0.0
31,flinkinyc,940073092470079488,939634404267380736,2017-12-11 04:17:45,@realDonaldTrump @daveweigel Zzzzzzzzzzz,-8,0.0
32,SmilingDaisy2,940072968964554753,939634404267380736,2017-12-11 04:17:16,@realDonaldTrump @daveweigel I voted for you and I support the work you do...but I am totally over your ridiculous... https://t.co/8q5p3Ym4vX,-4,0.0
33,cravenknowledge,940072756783202304,939634404267380736,2017-12-11 04:16:25,@realDonaldTrump @daveweigel https://t.co/xnL2ZkQR1r,-2,0.0
34,bsnbrysp8,940072518873890816,939634404267380736,2017-12-11 04:15:28,@realDonaldTrump @daveweigel #MuellerTime #ImpeachTrumpAndPence,-3,0.0
35,rondavt74,940072516994732033,939634404267380736,2017-12-11 04:15:28,@realDonaldTrump @daveweigel @realDonaldTrump should be fired.,-3,0.0
36,cravenknowledge,940072494932705282,939634404267380736,2017-12-11 04:15:23,@realDonaldTrump @daveweigel https://t.co/I9EBM6XxbS,-2,0.0
37,paullb14u,940072367568568320,939634404267380736,2017-12-11 04:14:52,@realDonaldTrump @daveweigel You should be fired for your constant misperception of truth and righteousness. You lied your way into office.,0,0.0
38,Ripple7355,940075913990979589,939616077356642304,2017-12-11 04:28:58,@realDonaldTrump @daveweigel @washingtonpost The photo was not phony. When will you stop lying?,-2,0.0
39,kevargue,940075560394407936,939616077356642304,2017-12-11 04:27:34,@realDonaldTrump @daveweigel @washingtonpost It was just symbolic of the total brainpower of your supporters.,-8,0.0
40,roxshep,940075313333014528,939616077356642304,2017-12-11 04:26:35,"@realDonaldTrump @daveweigel @washingtonpost GEEZ you just gotta stick everybody don't ya,,,over the most stupidest... https://t.co/HISqXDOO0h",-7,0.0
41,sheri4c2,940074901016256514,939616077356642304,2017-12-11 04:24:56,@realDonaldTrump @daveweigel @washingtonpost YOU APOLOGIZE TO AMERICA FOR YOUR FAKE PRESIDENCY&gt;&gt;&gt;YOU LOST THE POPUL... https://t.co/NwsNshcktl,-3,0.0
42,jlm0354,940074677845688320,939616077356642304,2017-12-11 04:24:03,"@realDonaldTrump @daveweigel @washingtonpost It's a real legitimate photo, it was just taken earlier.  No apology r... https://t.co/TSD19QMHeL",-3,0.0
43,orzymann,940074646883336192,939616077356642304,2017-12-11 04:23:56,@realDonaldTrump @daveweigel @washingtonpost That photo was from your inauguration dummy...haha,1,0.0
44,DrJayHay,940074414258794496,939616077356642304,2017-12-11 04:23:00,@realDonaldTrump @daveweigel @washingtonpost The left had trouble filling a basketball court.... why is this even a issue.,-4,0.0
45,Poppie_field,940073838242553856,939616077356642304,2017-12-11 04:20:43,@realDonaldTrump @daveweigel @washingtonpost You're in the photo.,1,0.0
46,bsnbrysp8,940073306136363008,939616077356642304,2017-12-11 04:18:36,"@realDonaldTrump @daveweigel @washingtonpost Yawn. Boring. So, it was before your packed arena...#SnowflakeInChief",-3,0.0
47,penrosecurtis,940073190969061377,939616077356642304,2017-12-11 04:18:09,@realDonaldTrump @daveweigel @washingtonpost THIS is what you're concerned with??? For fucks sake. #ComeBackBarack,-5,0.0
48,rondavt74,940072930154655744,939616077356642304,2017-12-11 04:17:06,@realDonaldTrump @daveweigel @washingtonpost  https://t.co/KIlXEabyL1,-3,0.0
49,Tbark8Tj,940072696204869632,939616077356642304,2017-12-11 04:16:11,@realDonaldTrump @daveweigel @washingtonpost maybe if these people would get fired things would change 'FAKE' news WaPo,0,0.0
50,msbakerdw,940072653905207296,939616077356642304,2017-12-11 04:16:01,@realDonaldTrump @daveweigel @washingtonpost SO CHILDISH MR PRESIDENT YOU WORRY ABT TH WRONG THING.IF I WS TH ONLY... https://t.co/HUXFJZIk6k,-1,0.0
